"","variables","coefficients","std_error"
"1","(Intercept)","0.148","0.180"
"2","SO20","0.350***","0.094"
"3","SO25","0.207**","0.078"
"4","rri","0.004**","0.002"
"5","prodmt_reg_shr_bana","0.026***","0.008"
"6","share_pop_5km_confl","0.002**","0.001"
"7","n_school","-0.0057***","0.002"
"8","SO17","-0.15**","0.069"
