"","targetarea_codes","admin2Pcod","admin0Pcod","admin1Pcod","admin2Name","area","estimated_population_current","FH","Direct","poppoor"
"54",2402,"SO2402","SO","SO24","Buur Hakaba",18106.2171020557,185111,0.481753943336063,NA,89177.954204882
"55",2403,"SO2403","SO","SO24","Diinsoor",9776.25035630518,157504,0.512568867406853,NA,80731.646892049
"56",2404,"SO2404","SO","SO24","Qansax Dheere",3281.04481534406,123543,0.53954805353263,NA,66657.3851775817
"57",2501,"SO2501","SO","SO25","Xudur",5455.08082307219,104180,0.658071378966107,0.61251608093512,68557.8762606891
"58",2502,"SO2502","SO","SO25","Ceel Barde",7698.34797077635,76423,0.762111991205142,0.77616456919287,58242.8847038706
"59",2503,"SO2503","SO","SO25","Tayeeglow",6625.7228776249,149670,0.716001839286419,NA,107163.995285998
"60",2504,"SO2504","SO","SO25","Waajid",2816.00615940371,81196,0.778651466022899,0.830909237183149,63223.3844351953
"61",2505,"SO2505","SO","SO25","Rab Dhuure",3323.13457139787,81026,0.795210170664916,NA,64432.6992882955
"62",2601,"SO2601","SO","SO26","Garbahaarey",8355.36025508761,134349,0.486730822447816,NA,65391.7992650416
"63",2602,"SO2602","SO","SO26","Baardheere",15343.1921712505,184538,0.557818240717003,0.702141921759152,102938.662505434
"64",2603,"SO2603","SO","SO26","Belet Xaawo",3829.55584003204,157013,0.36659866641399,0.271790662059713,57560.7564096599
"65",2604,"SO2604","SO","SO26","Ceel Waaq",7803.55369602124,93038,0.45612219762614,NA,42436.6970227408
"66",2605,"SO2605","SO","SO26","Doolow",1625.52035138605,186471,0.537795371448052,0.66327926700826,100283.24070929
"67",2606,"SO2606","SO","SO26","Luuq",8296.32282178118,128029,0.631743341504032,0.738699840281189,80881.4682694197
"68",2701,"SO2701","SO","SO27","Bu'aale",5514.81995274383,135355,0.472761044582935,NA,63990.5711895232
"69",2702,"SO2702","SO","SO27","Jilib",5274.16616692574,153111,0.71182004322082,NA,108987.478637583
"70",2703,"SO2703","SO","SO27","Saakow",8083.1603670354,67803,0.527386141430359,NA,35758.3625474026
"71",2801,"SO2801","SO","SO28","Kismaayo",9270.87656726912,325330,0.538940858493749,0.576198148009139,175333.629493771
"72",2802,"SO2802","SO","SO28","Afmadow",26879.6277596803,250151,0.594932064514978,0.592389281615513,148822.850870486
"73",2803,"SO2803","SO","SO28","Badhaadhe",9804.38405409035,76445,0.509883060595001,NA,38978.0105671848
"74",2804,"SO2804","SO","SO28","Jamaame",2164.40476505884,397870,0.467717968965469,NA,186090.948312291
