"","admin1Name","Direct","DirectLB","DirectUB"
"1","Awdal",0.314166937793857,0.215033541881688,0.413300333706027
"2","Woqooyi Galbeed",0.417630060901698,0.322768094587744,0.512492027215651
"3","Togdheer",0.373530641217572,0.286386289322557,0.460674993112587
"4","Sool",0.341532092545118,0.244479124724473,0.438585060365763
"5","Sanaag",0.354053450300396,0.255864534220257,0.452242366380535
"6","Bari",0.390861358121442,0.304093129366043,0.477629586876841
"7","Nugaal",0.299551722697847,0.230406202013471,0.368697243382222
"8","Mudug",0.664700115283922,0.547146098632468,0.782254131935376
"9","Galgaduud",0.499171286515215,0.37943878331768,0.618903789712749
"10","Hiraan",0.813656801743081,0.699268041243948,0.928045562242214
"11","Middle Shabelle",0.865888245407689,0.739378013066803,0.992398477748575
"12","Banadir",0.366976756740086,0.286674640889467,0.447278872590705
"13","Lower Shabelle",0.523775252988547,0.451487693612518,0.596062812364577
"14","Bay",0.571662860827875,0.46184973374746,0.681475987908289
"15","Bakool",0.735096648170973,0.622063040410427,0.848130255931519
"16","Gedo",0.52059761620562,0.412703961472638,0.628491270938603
"17","Lower Juba",0.58147032238246,0.468864805042709,0.694075839722211
